identity,NetworkFilename,Strain,CoatColor,CoatColor_numeric,Sex,Sex_numeric,Weight,Box,Box_numeric,TestAge,TestDate,TestTime,OFA_DistanceTraveled_first5m,OFA_DistanceTraveled_first20m,OFA_DistanceTraveled_first55m,OFA_PeripheryTime_first5m,OFA_PeripheryTime_first20m,OFA_PeripheryTime_first55m,OFA_CornerTime_first5m,OFA_CornerTime_first20m,OFA_CornerTime_first55m,OFA_Groom_first5m,OFA_Groom_first20m,OFA_Groom_first55m,OFA_Groom_first55m_linearslope,OFA_GroomBouts_first5m,OFA_GroomBouts_first20m,OFA_GroomBouts_first55m,OFA_GroomBouts_first55m_linearslope,OFA_GroomAvgBout_first5m,OFA_GroomAvgBout_first20m,OFA_GroomAvgBout_first55m,OFA_GroomAvgBout_first55m_linearslope,OFA_GroomPeakMidBin,OFA_GroomPeakVal,OFA_GroomPeakSlope
AJ-NA,LL1-B2B/2015-12-14_BG/LL1-3_AJ.avi,A/J,Albino,3,F,0,16.2,LL1-3,3,8.85714285714286,2015-12-14,2019-11-21 10:45:00,687.919,2736.9856,10070.373,300,1200.0333,3248.4,0,0,51.633329,8.2,105.36667,435.70009,0.178513702741703,1,9,29,0.00735930735930736,8.2,11.7074077777778,15.0241410344828,0.128150185708307,47.5,154.40003,3.25052694736842
AJ-NA,LL1-B2B/2015-12-14_BG/LL1-4_AJ.avi,A/J,Albino,3,F,0,19.2,LL1-4,4,8.85714285714286,2015-12-14,2019-11-21 10:45:00,463.7912,930.9594,2479.21453,295.1333,1195.1666,3295.1999,4.9,4.9,4.9,0,0,40.46666,0.0707094646464647,0,0,4,0.00678210678210678,NA,NA,10.116665,5.813334,52.5,35.03333,0.667301523809524
LL1-B2B/2015-12-21_BG/LL1-1_BLKS.avi-NA,LL1-B2B/2015-12-21_BG/LL1-1_BLKS.avi,C57BLKS/J,Black,6,M,1,25.2,LL1-1,1,8.85714285714286,2015-12-21,2019-11-21 10:45:00,1698.389,6849.767,17028.332,286.7334,1061.6667,2965.1337,13.3,138.43343,334.966682,10.5333,44.09997,156.93334,0.0446105331890332,1,4,13,0.00194805194805195,10.5333,11.0249925,12.0717953846154,0.113304804265997,27.5,37.2,1.35272727272727
LL1-B2B/2015-12-21_BG/LL1-2_BLKS.avi-NA,LL1-B2B/2015-12-21_BG/LL1-2_BLKS.avi,C57BLKS/J,Black,6,M,1,27.2,LL1-2,2,8.85714285714286,2015-12-21,2019-11-21 10:45:00,1576.2008,7729.4908,21462.4673,288.3667,1104.9333,2970.5996,11.63333,95.06667,329.400173,7.4,32.2333,83.53323,-0.00775613275613278,1,3,7,-0.00151515151515151,7.4,10.7444333333333,11.9333185714286,0.0484468946866051,47.5,29.3333,0.617543157894737
LL1-B2B/2015-12-21_BG/LL1-3_BLKS.avi-NA,LL1-B2B/2015-12-21_BG/LL1-3_BLKS.avi,C57BLKS/J,Black,6,M,1,29.6,LL1-3,3,8.85714285714286,2015-12-21,2019-11-21 10:45:00,1717.516,7003.072,16093.0056,287.1334,1077.8003,3040.6334,12.899994,122.266604,259.433374,4.13333,32.66663,292.0668,0.181693327561328,1,4,15,0.0062049062049062,4.13333,8.1666575,19.47112,0.194946689831374,32.5,92.5667,2.84820615384615
LL1-B2B/2015-12-21_BG/LL1-4_BLKS.avi-NA,LL1-B2B/2015-12-21_BG/LL1-4_BLKS.avi,C57BLKS/J,Black,6,M,1,25.9,LL1-4,4,8.85714285714286,2015-12-21,2019-11-21 10:45:00,1430.847,5658.478,13016.9102,285.3666,999.4998,2898.3998,14.66667,200.53341,401.633384,16.5667,43.56667,281.26674,0.173708652958153,2,4,19,0.00663780663780664,8.28335,10.8916675,14.8035126315789,0.24455515698435,47.5,82.4334,1.73544
C3H-NA,LL1-B2B/2015-12-22_BG/LL1-1_C3H.avi,C3H/HeJ,Agouti,1,F,0,20,LL1-1,1,9,2015-12-22,2019-11-21 10:45:00,1153.071,4732.0759,14484.1919,298.5,1141.9334,2992.9669,1.500004,58.066637,307.033103,0,33.26673,85.80003,0.0359642893217893,0,3,10,0.00584415584415584,NA,11.08891,8.580003,-0.103829163276376,17.5,29.3334,1.67619428571429
C3H-NA,LL1-B2B/2015-12-22_BG/LL1-2_C3H.avi,C3H/HeJ,Agouti,1,F,0,20,LL1-2,2,9,2015-12-22,2019-11-21 10:45:00,1405.91,5411.497,12864.833,298.3,1125.8001,3008.9001,1.73333,74.299957,291.19996,0,6.3,175.3666,0.170117722943723,0,1,14,0.0124819624819625,NA,6.3,12.5261857142857,0.15780550049554,47.5,56.3333,1.18596421052632
C3H-NA,LL1-B2B/2015-12-22_BG/LL1-3_C3H.avi,C3H/HeJ,Agouti,1,F,0,20.1,LL1-3,3,9,2015-12-22,2019-11-21 10:45:00,1834.498,6178.285,11676.776,273.1,1099.4666,3094.0666,26.89997,100.59991,205.99985,0,4.5,386.23333,0.470771979076479,0,1,14,0.0129148629148629,NA,4.5,27.588095,1.15769921987533,52.5,161.76667,3.0812699047619
C3H-NA,LL1-B2B/2015-12-22_BG/LL1-4_C3H.avi,C3H/HeJ,Agouti,1,F,0,19.7,LL1-4,4,9,2015-12-22,2019-11-21 10:45:00,1281.471,3645.9699,6643.62871,277.3667,1136.5,3191.4666,22.63333,63.56663,108.60003,3.83333,9.2,149.86657,0.0475228304473304,1,2,10,-0.000432900432900433,3.83333,4.6,14.986657,0.486600605824233,42.5,41.5667,0.97804
